citation,title,doi,year,veg_system_id,region,growth_forms,disturbance_type,response_category,scale,scale_detail,var_Condition,var_Diversity,var_Growth,var_Phenology,var_Physiology,ci_U,ci_D,ci_SE,ci_SD,ci_SQ,ci_SR,ci_overall
"Colangelo, M., Camarero, J. J., Gazol, A., Piovesan, G., Borghetti, M., Baliva, M., Gentilesca, T., Rita, A., Schettino, A., & Ripullone, F. (2021). Mediterranean old-growth forests exhibit resistance to climate warming. Science of The Total Environment, 801, 149684. https://doi.org/10.1016/j.scitotenv.2021.149684",Mediterranean old-growth forests exhibit resistance to climate warming,10.1016/j.scitotenv.2021.149684,2021,Mixed evergreen and deciduous forest,Mediterranean Basin,Trees,Climatic variation,Growth,Ecosystem,VegType: forest,,,I,,,8,10,5,6,6,1,18
"Colangelo, M., Camarero, J. J., Gazol, A., Piovesan, G., Borghetti, M., Baliva, M., Gentilesca, T., Rita, A., Schettino, A., & Ripullone, F. (2021). Mediterranean old-growth forests exhibit resistance to climate warming. Science of The Total Environment, 801, 149684. https://doi.org/10.1016/j.scitotenv.2021.149684",Mediterranean old-growth forests exhibit resistance to climate warming,10.1016/j.scitotenv.2021.149684,2021,Mixed evergreen and deciduous forest,Mediterranean Basin,Trees,Climatic variation,Growth,Species,Abies alba,,,I,,,8,10,5,6,6,1,18
"Colangelo, M., Camarero, J. J., Gazol, A., Piovesan, G., Borghetti, M., Baliva, M., Gentilesca, T., Rita, A., Schettino, A., & Ripullone, F. (2021). Mediterranean old-growth forests exhibit resistance to climate warming. Science of The Total Environment, 801, 149684. https://doi.org/10.1016/j.scitotenv.2021.149684",Mediterranean old-growth forests exhibit resistance to climate warming,10.1016/j.scitotenv.2021.149684,2021,Mixed evergreen and deciduous forest,Mediterranean Basin,Trees,Climatic variation,Growth,Species,Pinus leucodermis,,,I,,,8,10,5,6,6,1,18
"Colangelo, M., Camarero, J. J., Gazol, A., Piovesan, G., Borghetti, M., Baliva, M., Gentilesca, T., Rita, A., Schettino, A., & Ripullone, F. (2021). Mediterranean old-growth forests exhibit resistance to climate warming. Science of The Total Environment, 801, 149684. https://doi.org/10.1016/j.scitotenv.2021.149684",Mediterranean old-growth forests exhibit resistance to climate warming,10.1016/j.scitotenv.2021.149684,2021,Mixed evergreen and deciduous forest,Mediterranean Basin,Trees,Climatic variation,Growth,Species,Quercus cerris,,,"I, NL",,,8,10,5,6,6,1,18
"Colangelo, M., Camarero, J. J., Gazol, A., Piovesan, G., Borghetti, M., Baliva, M., Gentilesca, T., Rita, A., Schettino, A., & Ripullone, F. (2021). Mediterranean old-growth forests exhibit resistance to climate warming. Science of The Total Environment, 801, 149684. https://doi.org/10.1016/j.scitotenv.2021.149684",Mediterranean old-growth forests exhibit resistance to climate warming,10.1016/j.scitotenv.2021.149684,2021,Mixed evergreen and deciduous forest,Mediterranean Basin,Trees,Climatic variation,Growth,Species,Fagus sylvatica,,,"I, NL",,,8,10,5,6,6,1,18
"Cuena-Lombraña, A., Fois, M., Fenu, G., Cogoni, D., & Bacchetta, G. (2018). The impact of climatic variations on the reproductive success of Gentiana lutea L. in a Mediterranean mountain area. International Journal of Biometeorology, 62(7), 1283–1295. https://doi.org/10.1007/s00484-018-1533-3",The impact of climatic variations on the reproductive success of Gentiana lutea L. in a Mediterranean mountain area,10.1007/s00484-018-1533-3,2018,Alpine meadow/grassland,Mediterranean Basin,Shrubs,Climatic variation,Phenology,GrowthForm,Shrub,,,,D,,6,6,3,3,5,1,12
"Cuena-Lombraña, A., Fois, M., Fenu, G., Cogoni, D., & Bacchetta, G. (2018). The impact of climatic variations on the reproductive success of Gentiana lutea L. in a Mediterranean mountain area. International Journal of Biometeorology, 62(7), 1283–1295. https://doi.org/10.1007/s00484-018-1533-3",The impact of climatic variations on the reproductive success of Gentiana lutea L. in a Mediterranean mountain area,10.1007/s00484-018-1533-3,2018,Alpine meadow/grassland,Mediterranean Basin,Shrubs,Climatic variation,Phenology,Species,Gentiana lutea,,,,D,,6,6,3,3,5,1,12
"de la Riva, E. G., Lloret, F., Pérez-Ramos, I. M., Marañón, T., Saura-Mas, S., Díaz-Delgado, R., & Villar, R. (2017). The importance of functional diversity in the stability of Mediterranean shrubland communities after the impact of extreme climatic events. Journal of Plant Ecology, 10(2), 281–293. https://doi.org/10.1093/jpe/rtw027",The importance of functional diversity in the stability of Mediterranean shrubland communities after the impact of extreme climatic events,10.1093/jpe/rtw027,2017,Monte blanco xeric shrubland,Mediterranean Basin,"Trees, Shrubs","Climatic variation, Drought","Growth, Phenology",GrowthForm,Shrubs,,,NL,"I, NL",,9,6,6,2,6,1,15
"de la Riva, E. G., Lloret, F., Pérez-Ramos, I. M., Marañón, T., Saura-Mas, S., Díaz-Delgado, R., & Villar, R. (2017). The importance of functional diversity in the stability of Mediterranean shrubland communities after the impact of extreme climatic events. Journal of Plant Ecology, 10(2), 281–293. https://doi.org/10.1093/jpe/rtw027",The importance of functional diversity in the stability of Mediterranean shrubland communities after the impact of extreme climatic events,10.1093/jpe/rtw027,2017,Monte blanco xeric shrubland,Mediterranean Basin,"Trees, Shrubs","Climatic variation, Drought","Growth, Phenology",Ecosystem,Community: shrubland,,,NL,"I, NL",,9,6,6,2,6,1,15
"del Cacho, M., & Lloret, F. (2012). Resilience of Mediterranean shrubland to a severe drought episode: The role of seed bank and seedling emergence. Plant Biology, 14(3), 458–466. https://doi.org/10.1111/j.1438-8677.2011.00523.x",Resilience of Mediterranean shrubland to a severe drought episode: the role of seed bank and seedling emergence,10.1111/j.1438-8677.2011.00523.x,2012,Monte blanco xeric shrubland,Mediterranean Basin,"Trees, Shrubs, Herbs/forbs",Drought,"Condition, Growth",GrowthForm,Shrub,,,,,,5,5,2,1,6,1,10
"del Cacho, M., & Lloret, F. (2012). Resilience of Mediterranean shrubland to a severe drought episode: The role of seed bank and seedling emergence. Plant Biology, 14(3), 458–466. https://doi.org/10.1111/j.1438-8677.2011.00523.x",Resilience of Mediterranean shrubland to a severe drought episode: the role of seed bank and seedling emergence,10.1111/j.1438-8677.2011.00523.x,2012,Monte blanco xeric shrubland,Mediterranean Basin,"Trees, Shrubs, Herbs/forbs",Drought,"Condition, Growth",Ecosystem,Community: Woody,D,,D,,,5,5,2,1,6,1,10
"del Cacho, M., & Lloret, F. (2012). Resilience of Mediterranean shrubland to a severe drought episode: The role of seed bank and seedling emergence. Plant Biology, 14(3), 458–466. https://doi.org/10.1111/j.1438-8677.2011.00523.x",Resilience of Mediterranean shrubland to a severe drought episode: the role of seed bank and seedling emergence,10.1111/j.1438-8677.2011.00523.x,2012,Monte blanco xeric shrubland,Mediterranean Basin,"Trees, Shrubs, Herbs/forbs",Drought,"Condition, Growth",Ecosystem,Community: Herbaceous,D,,NL,,,5,5,2,1,6,1,10
"del Cacho, M., & Lloret, F. (2012). Resilience of Mediterranean shrubland to a severe drought episode: The role of seed bank and seedling emergence. Plant Biology, 14(3), 458–466. https://doi.org/10.1111/j.1438-8677.2011.00523.x",Resilience of Mediterranean shrubland to a severe drought episode: the role of seed bank and seedling emergence,10.1111/j.1438-8677.2011.00523.x,2012,Monte blanco xeric shrubland,Mediterranean Basin,"Trees, Shrubs, Herbs/forbs",Drought,"Condition, Growth",Species,Halimium commutatum,,,NL,,,5,5,2,1,6,1,10
"del Cacho, M., & Lloret, F. (2012). Resilience of Mediterranean shrubland to a severe drought episode: The role of seed bank and seedling emergence. Plant Biology, 14(3), 458–466. https://doi.org/10.1111/j.1438-8677.2011.00523.x",Resilience of Mediterranean shrubland to a severe drought episode: the role of seed bank and seedling emergence,10.1111/j.1438-8677.2011.00523.x,2012,Monte blanco xeric shrubland,Mediterranean Basin,"Trees, Shrubs, Herbs/forbs",Drought,"Condition, Growth",Species,Rosmarinus officinalis,,,I,,,5,5,2,1,6,1,10
"del Cacho, M., & Lloret, F. (2012). Resilience of Mediterranean shrubland to a severe drought episode: The role of seed bank and seedling emergence. Plant Biology, 14(3), 458–466. https://doi.org/10.1111/j.1438-8677.2011.00523.x",Resilience of Mediterranean shrubland to a severe drought episode: the role of seed bank and seedling emergence,10.1111/j.1438-8677.2011.00523.x,2012,Monte blanco xeric shrubland,Mediterranean Basin,"Trees, Shrubs, Herbs/forbs",Drought,"Condition, Growth",Species,Lavandula stoechas,,,NL,,,5,5,2,1,6,1,10
"del Cacho, M., & Lloret, F. (2012). Resilience of Mediterranean shrubland to a severe drought episode: The role of seed bank and seedling emergence. Plant Biology, 14(3), 458–466. https://doi.org/10.1111/j.1438-8677.2011.00523.x",Resilience of Mediterranean shrubland to a severe drought episode: the role of seed bank and seedling emergence,10.1111/j.1438-8677.2011.00523.x,2012,Monte blanco xeric shrubland,Mediterranean Basin,"Trees, Shrubs, Herbs/forbs",Drought,"Condition, Growth",Species,Thymus mastichina,,,I,,,5,5,2,1,6,1,10
"del Cacho, M., & Lloret, F. (2012). Resilience of Mediterranean shrubland to a severe drought episode: The role of seed bank and seedling emergence. Plant Biology, 14(3), 458–466. https://doi.org/10.1111/j.1438-8677.2011.00523.x",Resilience of Mediterranean shrubland to a severe drought episode: the role of seed bank and seedling emergence,10.1111/j.1438-8677.2011.00523.x,2012,Monte blanco xeric shrubland,Mediterranean Basin,"Trees, Shrubs, Herbs/forbs",Drought,"Condition, Growth",Species,Ulex australis,,,D,,,5,5,2,1,6,1,10
"del Cacho, M., & Lloret, F. (2012). Resilience of Mediterranean shrubland to a severe drought episode: The role of seed bank and seedling emergence. Plant Biology, 14(3), 458–466. https://doi.org/10.1111/j.1438-8677.2011.00523.x",Resilience of Mediterranean shrubland to a severe drought episode: the role of seed bank and seedling emergence,10.1111/j.1438-8677.2011.00523.x,2012,Monte blanco xeric shrubland,Mediterranean Basin,"Trees, Shrubs, Herbs/forbs",Drought,"Condition, Growth",Species,Pinus pinea,,,D,,,5,5,2,1,6,1,10
"del Cacho, M., & Lloret, F. (2012). Resilience of Mediterranean shrubland to a severe drought episode: The role of seed bank and seedling emergence. Plant Biology, 14(3), 458–466. https://doi.org/10.1111/j.1438-8677.2011.00523.x",Resilience of Mediterranean shrubland to a severe drought episode: the role of seed bank and seedling emergence,10.1111/j.1438-8677.2011.00523.x,2012,Monte blanco xeric shrubland,Mediterranean Basin,"Trees, Shrubs, Herbs/forbs",Drought,"Condition, Growth",Species,Juniperus phoenicea ssp. turbinata,,,D,,,5,5,2,1,6,1,10
"del Cacho, M., & Lloret, F. (2012). Resilience of Mediterranean shrubland to a severe drought episode: The role of seed bank and seedling emergence. Plant Biology, 14(3), 458–466. https://doi.org/10.1111/j.1438-8677.2011.00523.x",Resilience of Mediterranean shrubland to a severe drought episode: the role of seed bank and seedling emergence,10.1111/j.1438-8677.2011.00523.x,2012,Monte blanco xeric shrubland,Mediterranean Basin,"Trees, Shrubs, Herbs/forbs",Drought,"Condition, Growth",Species,Cistus libanotis,,,I,,,5,5,2,1,6,1,10
"del Cacho, M., & Lloret, F. (2012). Resilience of Mediterranean shrubland to a severe drought episode: The role of seed bank and seedling emergence. Plant Biology, 14(3), 458–466. https://doi.org/10.1111/j.1438-8677.2011.00523.x",Resilience of Mediterranean shrubland to a severe drought episode: the role of seed bank and seedling emergence,10.1111/j.1438-8677.2011.00523.x,2012,Monte blanco xeric shrubland,Mediterranean Basin,"Trees, Shrubs, Herbs/forbs",Drought,"Condition, Growth",Species,Halimium halimifolium,,,D,,,5,5,2,1,6,1,10
"del Cacho, M., & Lloret, F. (2012). Resilience of Mediterranean shrubland to a severe drought episode: The role of seed bank and seedling emergence. Plant Biology, 14(3), 458–466. https://doi.org/10.1111/j.1438-8677.2011.00523.x",Resilience of Mediterranean shrubland to a severe drought episode: the role of seed bank and seedling emergence,10.1111/j.1438-8677.2011.00523.x,2012,Monte blanco xeric shrubland,Mediterranean Basin,"Trees, Shrubs, Herbs/forbs",Drought,"Condition, Growth",Species,Helichrysum italicum,,,D,,,5,5,2,1,6,1,10
"Díaz-Borrego, R., Ángeles Pérez-Navarro, M., Jaime, L., Elvira, N. J., & Lloret, F. (2024). Climatic disequilibrium of recruit communities across a drought-induced die-off gradient in Mediterranean shrubland. Oikos, 2024(7), e10465. https://doi.org/10.1111/oik.10465",Climatic disequilibrium of recruit communities across a drought-induced die-off gradient in Mediterranean shrubland,10.1111/oik.10465,2024,Monte blanco,Mediterranean Basin,Shrubs,Drought,Condition,GrowthForm,Shrub,NL,,,,,9,5,6,1,6,1,14
"Díaz-Borrego, R., Ángeles Pérez-Navarro, M., Jaime, L., Elvira, N. J., & Lloret, F. (2024). Climatic disequilibrium of recruit communities across a drought-induced die-off gradient in Mediterranean shrubland. Oikos, 2024(7), e10465. https://doi.org/10.1111/oik.10465",Climatic disequilibrium of recruit communities across a drought-induced die-off gradient in Mediterranean shrubland,10.1111/oik.10465,2024,Monte blanco,Mediterranean Basin,Shrubs,Drought,Condition,Ecosystem,Community: Facilitated,I,,,,,9,5,6,1,6,1,14
"Díaz-Borrego, R., Ángeles Pérez-Navarro, M., Jaime, L., Elvira, N. J., & Lloret, F. (2024). Climatic disequilibrium of recruit communities across a drought-induced die-off gradient in Mediterranean shrubland. Oikos, 2024(7), e10465. https://doi.org/10.1111/oik.10465",Climatic disequilibrium of recruit communities across a drought-induced die-off gradient in Mediterranean shrubland,10.1111/oik.10465,2024,Monte blanco,Mediterranean Basin,Shrubs,Drought,Condition,Ecosystem,Community: Inhibited,N,,,,,9,5,6,1,6,1,14
"Díaz-Borrego, R., Ángeles Pérez-Navarro, M., Jaime, L., Elvira, N. J., & Lloret, F. (2024). Climatic disequilibrium of recruit communities across a drought-induced die-off gradient in Mediterranean shrubland. Oikos, 2024(7), e10465. https://doi.org/10.1111/oik.10465",Climatic disequilibrium of recruit communities across a drought-induced die-off gradient in Mediterranean shrubland,10.1111/oik.10465,2024,Monte blanco,Mediterranean Basin,Shrubs,Drought,Condition,Ecosystem,Community: Neutral,N,,,,,9,5,6,1,6,1,14
"Dolanc, C. R., Thorne, J. H., & Safford, H. D. (2013). Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007. Global Ecology and Biogeography, 22(3), 264–276. https://doi.org/10.1111/j.1466-8238.2011.00748.x","Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007",10.1111/j.1466-8238.2011.00748.x,2013,Subalpine forest,"California, USA",Trees,Climatic variation,Growth,GrowthForm,Trees,,,"I, NL",,,8,10,5,6,6,1,18
"Dolanc, C. R., Thorne, J. H., & Safford, H. D. (2013). Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007. Global Ecology and Biogeography, 22(3), 264–276. https://doi.org/10.1111/j.1466-8238.2011.00748.x","Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007",10.1111/j.1466-8238.2011.00748.x,2013,Subalpine forest,"California, USA",Trees,Climatic variation,Growth,Species,Abies concolor,,,"I, NL",,,8,10,5,6,6,1,18
"Dolanc, C. R., Thorne, J. H., & Safford, H. D. (2013). Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007. Global Ecology and Biogeography, 22(3), 264–276. https://doi.org/10.1111/j.1466-8238.2011.00748.x","Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007",10.1111/j.1466-8238.2011.00748.x,2013,Subalpine forest,"California, USA",Trees,Climatic variation,Growth,Species,Abies magnifica,,,I,,,8,10,5,6,6,1,18
"Dolanc, C. R., Thorne, J. H., & Safford, H. D. (2013). Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007. Global Ecology and Biogeography, 22(3), 264–276. https://doi.org/10.1111/j.1466-8238.2011.00748.x","Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007",10.1111/j.1466-8238.2011.00748.x,2013,Subalpine forest,"California, USA",Trees,Climatic variation,Growth,Species,Pinus jeffreyi,,,"I, NL",,,8,10,5,6,6,1,18
"Dolanc, C. R., Thorne, J. H., & Safford, H. D. (2013). Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007. Global Ecology and Biogeography, 22(3), 264–276. https://doi.org/10.1111/j.1466-8238.2011.00748.x","Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007",10.1111/j.1466-8238.2011.00748.x,2013,Subalpine forest,"California, USA",Trees,Climatic variation,Growth,Species,Pinus contorta,,,I,,,8,10,5,6,6,1,18
"Dolanc, C. R., Thorne, J. H., & Safford, H. D. (2013). Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007. Global Ecology and Biogeography, 22(3), 264–276. https://doi.org/10.1111/j.1466-8238.2011.00748.x","Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007",10.1111/j.1466-8238.2011.00748.x,2013,Subalpine forest,"California, USA",Trees,Climatic variation,Growth,Species,Tsuga mertensiana,,,I,,,8,10,5,6,6,1,18
"Dolanc, C. R., Thorne, J. H., & Safford, H. D. (2013). Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007. Global Ecology and Biogeography, 22(3), 264–276. https://doi.org/10.1111/j.1466-8238.2011.00748.x","Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007",10.1111/j.1466-8238.2011.00748.x,2013,Subalpine forest,"California, USA",Trees,Climatic variation,Growth,Species,Pinus albicaulis,,,"I, NL",,,8,10,5,6,6,1,18
"Dolanc, C. R., Thorne, J. H., & Safford, H. D. (2013). Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007. Global Ecology and Biogeography, 22(3), 264–276. https://doi.org/10.1111/j.1466-8238.2011.00748.x","Widespread shifts in the demographic structure of subalpine forests in the Sierra Nevada, California, 1934 to 2007",10.1111/j.1466-8238.2011.00748.x,2013,Subalpine forest,"California, USA",Trees,Climatic variation,Growth,Species,Pinus monticola,,,"I, NL",,,8,10,5,6,6,1,18
"Dong, C., MacDonald, G., Okin, G. S., & Gillespie, T. W. (2019). Quantifying Drought Sensitivity of Mediterranean Climate Vegetation to Recent Warming: A Case Study in Southern California. Remote Sensing, 11(24), Article 24. https://doi.org/10.3390/rs11242902",Quantifying Drought Sensitivity of Mediterranean Climate Vegetation to Recent Warming: A Case Study in Southern California,10.3390/rs11242902,2019,"Chaparral, coastal sage scrub, grassland, forest/woodland","California, USA",All,"Climatic variation, Drought",Condition,GrowthForm,Shrubs,D,,,,,7,6,4,3,5,1,13
"Dong, C., MacDonald, G., Okin, G. S., & Gillespie, T. W. (2019). Quantifying Drought Sensitivity of Mediterranean Climate Vegetation to Recent Warming: A Case Study in Southern California. Remote Sensing, 11(24), Article 24. https://doi.org/10.3390/rs11242902",Quantifying Drought Sensitivity of Mediterranean Climate Vegetation to Recent Warming: A Case Study in Southern California,10.3390/rs11242902,2019,"Chaparral, coastal sage scrub, grassland, forest/woodland","California, USA",All,"Climatic variation, Drought",Condition,GrowthForm,Grasses,"I, D",,,,,7,6,4,3,5,1,13
"Dong, C., MacDonald, G., Okin, G. S., & Gillespie, T. W. (2019). Quantifying Drought Sensitivity of Mediterranean Climate Vegetation to Recent Warming: A Case Study in Southern California. Remote Sensing, 11(24), Article 24. https://doi.org/10.3390/rs11242902",Quantifying Drought Sensitivity of Mediterranean Climate Vegetation to Recent Warming: A Case Study in Southern California,10.3390/rs11242902,2019,"Chaparral, coastal sage scrub, grassland, forest/woodland","California, USA",All,"Climatic variation, Drought",Condition,Ecosystem,VegType: coastal sage scrub,D,,,,,7,6,4,3,5,1,13
"Dong, C., MacDonald, G., Okin, G. S., & Gillespie, T. W. (2019). Quantifying Drought Sensitivity of Mediterranean Climate Vegetation to Recent Warming: A Case Study in Southern California. Remote Sensing, 11(24), Article 24. https://doi.org/10.3390/rs11242902",Quantifying Drought Sensitivity of Mediterranean Climate Vegetation to Recent Warming: A Case Study in Southern California,10.3390/rs11242902,2019,"Chaparral, coastal sage scrub, grassland, forest/woodland","California, USA",All,"Climatic variation, Drought",Condition,Ecosystem,VegType: chaparral,D,,,,,7,6,4,3,5,1,13
"Dong, C., MacDonald, G., Okin, G. S., & Gillespie, T. W. (2019). Quantifying Drought Sensitivity of Mediterranean Climate Vegetation to Recent Warming: A Case Study in Southern California. Remote Sensing, 11(24), Article 24. https://doi.org/10.3390/rs11242902",Quantifying Drought Sensitivity of Mediterranean Climate Vegetation to Recent Warming: A Case Study in Southern California,10.3390/rs11242902,2019,"Chaparral, coastal sage scrub, grassland, forest/woodland","California, USA",All,"Climatic variation, Drought",Condition,Ecosystem,VegType: grassland,"I, D",,,,,7,6,4,3,5,1,13
"Dong, C., MacDonald, G., Okin, G. S., & Gillespie, T. W. (2019). Quantifying Drought Sensitivity of Mediterranean Climate Vegetation to Recent Warming: A Case Study in Southern California. Remote Sensing, 11(24), Article 24. https://doi.org/10.3390/rs11242902",Quantifying Drought Sensitivity of Mediterranean Climate Vegetation to Recent Warming: A Case Study in Southern California,10.3390/rs11242902,2019,"Chaparral, coastal sage scrub, grassland, forest/woodland","California, USA",All,"Climatic variation, Drought",Condition,Ecosystem,VegType: forest,D,,,,,7,6,4,3,5,1,13
"Dong, C., MacDonald, G., Okin, G. S., & Gillespie, T. W. (2019). Quantifying Drought Sensitivity of Mediterranean Climate Vegetation to Recent Warming: A Case Study in Southern California. Remote Sensing, 11(24), Article 24. https://doi.org/10.3390/rs11242902",Quantifying Drought Sensitivity of Mediterranean Climate Vegetation to Recent Warming: A Case Study in Southern California,10.3390/rs11242902,2019,"Chaparral, coastal sage scrub, grassland, forest/woodland","California, USA",All,"Climatic variation, Drought",Condition,Ecosystem,VegType: developed-land,D,,,,,7,6,4,3,5,1,13
"Evangelista, A., Frate, L., Carranza, M. L., Attorre, F., Pelino, G., & Stanisci, A. (2016). Changes in composition, ecology and structure of high-mountain vegetation: A re-visitation study over 42 years. AoB PLANTS, 8, plw004. https://doi.org/10.1093/aobpla/plw005","Changes in composition, ecology and structure of high-mountain vegetation: a re-visitation study over 42 years",10.1093/aobpla/plw005,2016,Alpine vegetation,Mediterranean Basin,Shrubs,Climatic variation,"Diversity, Growth",Ecosystem,Community: cryophilic,,D,D,,,6,7,3,4,5,1,13
"Evangelista, A., Frate, L., Carranza, M. L., Attorre, F., Pelino, G., & Stanisci, A. (2016). Changes in composition, ecology and structure of high-mountain vegetation: A re-visitation study over 42 years. AoB PLANTS, 8, plw004. https://doi.org/10.1093/aobpla/plw005","Changes in composition, ecology and structure of high-mountain vegetation: a re-visitation study over 42 years",10.1093/aobpla/plw005,2016,Alpine vegetation,Mediterranean Basin,Shrubs,Climatic variation,"Diversity, Growth",Ecosystem,Community: thermophilic,,I,I,,,6,7,3,4,5,1,13
"Evangelista, A., Frate, L., Carranza, M. L., Attorre, F., Pelino, G., & Stanisci, A. (2016). Changes in composition, ecology and structure of high-mountain vegetation: A re-visitation study over 42 years. AoB PLANTS, 8, plw004. https://doi.org/10.1093/aobpla/plw005","Changes in composition, ecology and structure of high-mountain vegetation: a re-visitation study over 42 years",10.1093/aobpla/plw005,2016,Alpine vegetation,Mediterranean Basin,Shrubs,Climatic variation,"Diversity, Growth",Ecosystem,Community: hemicryptophyte,,I,I,,,6,7,3,4,5,1,13
"Fernández Calzado, M. R., & Molero, J. (2013). Changes in the summit flora of a Mediterranean mountain (Sierra Nevada, Spain) as a possible effect of climate change. LAZAROA, 34(1), 65–75. https://doi.org/10.5209/rev_LAZA.2013.v34.n1.41524","Changes in the summit flora of a Mediterranean mountain (Sierra Nevada, Spain) as a possible effect of climate change",10.5209/rev_LAZA.2013.v34.n1.41524,2013,Alpine summit vegetation,Mediterranean Basin,"Shrubs, Graminoids, Herbs/forbs",Climatic variation,Diversity,Ecosystem,VegType: alpine summit flora,,"D, I",,,,6,5,3,2,5,1,11
"Fettig, C. J., Mortenson, L. A., Bulaon, B. M., & Foulk, P. B. (2019). Tree mortality following drought in the central and southern Sierra Nevada, California, U.S. Forest Ecology and Management, 432, 164–178. https://doi.org/10.1016/j.foreco.2018.09.006","Tree mortality following drought in the central and southern Sierra Nevada, California, U.S.",10.1016/j.foreco.2018.09.006,2019,Mixed-conifer forest,"California, USA",Trees,"Drought, Pathogen/Insect outbreak","Condition, Growth",GrowthForm,Trees,D,,D,,,3,5,3,3,2,0,8
"Fettig, C. J., Mortenson, L. A., Bulaon, B. M., & Foulk, P. B. (2019). Tree mortality following drought in the central and southern Sierra Nevada, California, U.S. Forest Ecology and Management, 432, 164–178. https://doi.org/10.1016/j.foreco.2018.09.006","Tree mortality following drought in the central and southern Sierra Nevada, California, U.S.",10.1016/j.foreco.2018.09.006,2019,Mixed-conifer forest,"California, USA",Trees,"Drought, Pathogen/Insect outbreak","Condition, Growth",Ecosystem,Community: low elevation band,D,,NL,,,3,5,3,3,2,0,8
"Fettig, C. J., Mortenson, L. A., Bulaon, B. M., & Foulk, P. B. (2019). Tree mortality following drought in the central and southern Sierra Nevada, California, U.S. Forest Ecology and Management, 432, 164–178. https://doi.org/10.1016/j.foreco.2018.09.006","Tree mortality following drought in the central and southern Sierra Nevada, California, U.S.",10.1016/j.foreco.2018.09.006,2019,Mixed-conifer forest,"California, USA",Trees,"Drought, Pathogen/Insect outbreak","Condition, Growth",Species,Pinus ponderosa,D,,D,,,3,5,3,3,2,0,8
"Fettig, C. J., Mortenson, L. A., Bulaon, B. M., & Foulk, P. B. (2019). Tree mortality following drought in the central and southern Sierra Nevada, California, U.S. Forest Ecology and Management, 432, 164–178. https://doi.org/10.1016/j.foreco.2018.09.006","Tree mortality following drought in the central and southern Sierra Nevada, California, U.S.",10.1016/j.foreco.2018.09.006,2019,Mixed-conifer forest,"California, USA",Trees,"Drought, Pathogen/Insect outbreak","Condition, Growth",Species,Quercus chrysolepis,I,,I,,,3,5,3,3,2,0,8
"Fettig, C. J., Mortenson, L. A., Bulaon, B. M., & Foulk, P. B. (2019). Tree mortality following drought in the central and southern Sierra Nevada, California, U.S. Forest Ecology and Management, 432, 164–178. https://doi.org/10.1016/j.foreco.2018.09.006","Tree mortality following drought in the central and southern Sierra Nevada, California, U.S.",10.1016/j.foreco.2018.09.006,2019,Mixed-conifer forest,"California, USA",Trees,"Drought, Pathogen/Insect outbreak","Condition, Growth",Species,Pinus lambertiana,D,,D,,,3,5,3,3,2,0,8
"Fettig, C. J., Mortenson, L. A., Bulaon, B. M., & Foulk, P. B. (2019). Tree mortality following drought in the central and southern Sierra Nevada, California, U.S. Forest Ecology and Management, 432, 164–178. https://doi.org/10.1016/j.foreco.2018.09.006","Tree mortality following drought in the central and southern Sierra Nevada, California, U.S.",10.1016/j.foreco.2018.09.006,2019,Mixed-conifer forest,"California, USA",Trees,"Drought, Pathogen/Insect outbreak","Condition, Growth",Species,Calocedrus decurrens,D,,I,,,3,5,3,3,2,0,8
"Fettig, C. J., Mortenson, L. A., Bulaon, B. M., & Foulk, P. B. (2019). Tree mortality following drought in the central and southern Sierra Nevada, California, U.S. Forest Ecology and Management, 432, 164–178. https://doi.org/10.1016/j.foreco.2018.09.006","Tree mortality following drought in the central and southern Sierra Nevada, California, U.S.",10.1016/j.foreco.2018.09.006,2019,Mixed-conifer forest,"California, USA",Trees,"Drought, Pathogen/Insect outbreak","Condition, Growth",Species,Abies concolor,D,,NL,,,3,5,3,3,2,0,8
